  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   2.754E+015  1.981E+004  8.433E+001  1.357E-001  7.538E-001  2.583E-010  0.000E+000  0.000E+000  5.496E-012  0.000E+000  0.000E+000  9.206E+000
   2.951E+015  1.725E+004  8.035E+001  1.266E-001  7.669E-001  2.634E-010  0.000E+000  0.000E+000  6.016E-012  0.000E+000  0.000E+000  9.215E+000
   3.162E+015  1.503E+004  7.655E+001  1.182E-001  7.794E-001  2.677E-010  0.000E+000  0.000E+000  6.523E-012  0.000E+000  0.000E+000  9.224E+000
   3.388E+015  1.309E+004  7.294E+001  1.103E-001  7.913E-001  2.723E-010  0.000E+000  0.000E+000  7.123E-012  0.000E+000  0.000E+000  9.232E+000
   3.631E+015  1.140E+004  6.950E+001  1.029E-001  8.027E-001  2.766E-010  0.000E+000  0.000E+000  7.752E-012  0.000E+000  0.000E+000  9.239E+000
   3.890E+015  9.929E+003  6.622E+001  9.605E-002  8.136E-001  2.804E-010  0.000E+000  0.000E+000  8.385E-012  0.000E+000  0.000E+000  9.246E+000
   4.169E+015  8.647E+003  6.309E+001  8.964E-002  8.240E-001  2.842E-010  0.000E+000  0.000E+000  9.103E-012  0.000E+000  0.000E+000  9.252E+000
   4.467E+015  7.532E+003  6.011E+001  8.366E-002  8.338E-001  2.880E-010  0.000E+000  0.000E+000  9.908E-012  0.000E+000  0.000E+000  9.258E+000
   4.786E+015  6.560E+003  5.728E+001  7.807E-002  8.432E-001  2.915E-010  0.000E+000  0.000E+000  1.076E-011  0.000E+000  0.000E+000  9.264E+000
   5.129E+015  5.713E+003  5.457E+001  7.286E-002  8.521E-001  2.952E-010  0.000E+000  0.000E+000  1.180E-011  0.000E+000  0.000E+000  9.269E+000
   5.495E+015  4.976E+003  5.200E+001  6.800E-002  8.606E-001  2.981E-010  0.000E+000  0.000E+000  1.271E-011  0.000E+000  0.000E+000  9.274E+000
   5.888E+015  4.334E+003  4.954E+001  6.346E-002  8.686E-001  3.009E-010  0.000E+000  0.000E+000  1.373E-011  0.000E+000  0.000E+000  9.278E+000
   6.310E+015  3.775E+003  4.720E+001  5.922E-002  8.762E-001  3.038E-010  0.000E+000  0.000E+000  1.492E-011  0.000E+000  0.000E+000  9.283E+000
   6.761E+015  3.288E+003  4.497E+001  5.527E-002  8.835E-001  3.066E-010  0.000E+000  0.000E+000  1.626E-011  0.000E+000  0.000E+000  9.287E+000
   7.244E+015  2.863E+003  4.285E+001  5.158E-002  8.903E-001  3.092E-010  0.000E+000  0.000E+000  1.767E-011  0.000E+000  0.000E+000  9.290E+000
   7.762E+015  2.494E+003  4.083E+001  4.814E-002  8.968E-001  3.115E-010  0.000E+000  0.000E+000  1.908E-011  0.000E+000  0.000E+000  9.294E+000
   8.318E+015  2.172E+003  3.890E+001  4.493E-002  9.029E-001  3.139E-010  0.000E+000  0.000E+000  2.082E-011  0.000E+000  0.000E+000  9.297E+000
   8.913E+015  1.892E+003  3.707E+001  4.193E-002  9.087E-001  3.159E-010  0.000E+000  0.000E+000  2.253E-011  0.000E+000  0.000E+000  9.300E+000
   9.550E+015  1.648E+003  3.532E+001  3.913E-002  9.142E-001  3.181E-010  0.000E+000  0.000E+000  2.473E-011  0.000E+000  0.000E+000  9.303E+000
   1.023E+016  1.435E+003  3.365E+001  3.652E-002  9.194E-001  3.199E-010  0.000E+000  0.000E+000  2.677E-011  0.000E+000  0.000E+000  9.305E+000
   1.096E+016  1.250E+003  3.206E+001  3.408E-002  9.243E-001  3.218E-010  0.000E+000  0.000E+000  2.935E-011  0.000E+000  0.000E+000  9.308E+000
   1.175E+016  1.089E+003  3.055E+001  3.181E-002  9.289E-001  3.235E-010  0.000E+000  0.000E+000  3.204E-011  0.000E+000  0.000E+000  9.310E+000
   1.259E+016  9.482E+002  2.910E+001  2.968E-002  9.333E-001  3.251E-010  0.000E+000  0.000E+000  3.511E-011  0.000E+000  0.000E+000  9.312E+000
   1.349E+016  8.258E+002  2.773E+001  2.770E-002  9.374E-001  3.267E-010  0.000E+000  0.000E+000  3.860E-011  0.000E+000  0.000E+000  9.314E+000
   1.445E+016  7.193E+002  2.642E+001  2.585E-002  9.413E-001  3.281E-010  0.000E+000  0.000E+000  4.259E-011  0.000E+000  0.000E+000  9.316E+000
   1.549E+016  6.264E+002  2.517E+001  2.413E-002  9.449E-001  3.295E-010  0.000E+000  0.000E+000  4.715E-011  0.000E+000  0.000E+000  9.318E+000
   1.660E+016  5.456E+002  2.399E+001  2.252E-002  9.483E-001  3.307E-010  0.000E+000  0.000E+000  5.212E-011  0.000E+000  0.000E+000  9.319E+000
   1.778E+016  4.752E+002  2.285E+001  2.101E-002  9.516E-001  3.319E-010  0.000E+000  0.000E+000  5.804E-011  0.000E+000  0.000E+000  9.321E+000
   1.905E+016  4.139E+002  2.178E+001  1.961E-002  9.546E-001  3.331E-010  0.000E+000  0.000E+000  6.502E-011  0.000E+000  0.000E+000  9.322E+000
   2.042E+016  3.605E+002  2.075E+001  1.830E-002  9.575E-001  3.342E-010  0.000E+000  0.000E+000  7.309E-011  0.000E+000  0.000E+000  9.324E+000
   2.188E+016  3.140E+002  1.977E+001  1.708E-002  9.602E-001  3.351E-010  0.000E+000  0.000E+000  8.223E-011  0.000E+000  0.000E+000  9.325E+000
   2.344E+016  2.735E+002  1.884E+001  1.594E-002  9.627E-001  3.361E-010  0.000E+000  0.000E+000  9.293E-011  0.000E+000  0.000E+000  9.326E+000
   2.512E+016  2.382E+002  1.795E+001  1.488E-002  9.651E-001  3.370E-010  0.000E+000  0.000E+000  1.057E-010  0.000E+000  0.000E+000  9.327E+000
   2.692E+016  2.074E+002  1.710E+001  1.388E-002  9.673E-001  3.378E-010  0.000E+000  0.000E+000  1.206E-010  0.000E+000  0.000E+000  9.328E+000
   2.884E+016  1.807E+002  1.629E+001  1.296E-002  9.694E-001  3.386E-010  0.000E+000  0.000E+000  1.366E-010  0.000E+000  0.000E+000  9.329E+000
   3.090E+016  1.574E+002  1.552E+001  1.209E-002  9.714E-001  3.393E-010  0.000E+000  0.000E+000  1.523E-010  0.000E+000  0.000E+000  9.330E+000
   3.311E+016  1.371E+002  1.479E+001  1.128E-002  9.732E-001  3.400E-010  0.000E+000  0.000E+000  1.693E-010  0.000E+000  0.000E+000  9.331E+000
   3.548E+016  1.194E+002  1.409E+001  1.053E-002  9.749E-001  3.407E-010  0.000E+000  0.000E+000  1.869E-010  0.000E+000  0.000E+000  9.331E+000
   3.802E+016  1.040E+002  1.343E+001  9.829E-003  9.766E-001  3.413E-010  0.000E+000  0.000E+000  2.001E-010  0.000E+000  0.000E+000  9.332E+000
   4.074E+016  9.055E+001  1.279E+001  9.173E-003  9.781E-001  3.418E-010  0.000E+000  0.000E+000  2.112E-010  0.000E+000  0.000E+000  9.333E+000
   4.365E+016  7.887E+001  1.219E+001  8.560E-003  9.795E-001  3.424E-010  0.000E+000  0.000E+000  2.196E-010  0.000E+000  0.000E+000  9.333E+000
   4.677E+016  6.869E+001  1.161E+001  7.989E-003  9.808E-001  3.428E-010  0.000E+000  0.000E+000  2.255E-010  0.000E+000  0.000E+000  9.334E+000
   5.012E+016  5.983E+001  1.107E+001  7.456E-003  9.821E-001  3.433E-010  0.000E+000  0.000E+000  2.297E-010  0.000E+000  0.000E+000  9.334E+000
   5.370E+016  5.211E+001  1.054E+001  6.958E-003  9.832E-001  3.438E-010  0.000E+000  0.000E+000  2.320E-010  0.000E+000  0.000E+000  9.335E+000
   5.754E+016  4.538E+001  1.005E+001  6.494E-003  9.843E-001  3.442E-010  0.000E+000  0.000E+000  2.335E-010  0.000E+000  0.000E+000  9.335E+000
   6.166E+016  3.953E+001  1.000E+001  6.060E-003  9.854E-001  3.446E-010  0.000E+000  0.000E+000  2.345E-010  0.000E+000  0.000E+000  9.336E+000
   6.607E+016  3.443E+001  1.000E+001  5.656E-003  9.863E-001  3.449E-010  0.000E+000  0.000E+000  2.351E-010  0.000E+000  0.000E+000  9.336E+000
   7.079E+016  2.998E+001  1.000E+001  5.278E-003  9.872E-001  3.453E-010  0.000E+000  0.000E+000  2.356E-010  0.000E+000  0.000E+000  9.337E+000
   7.586E+016  2.611E+001  1.000E+001  4.926E-003  9.881E-001  3.455E-010  0.000E+000  0.000E+000  2.359E-010  0.000E+000  0.000E+000  9.337E+000
