  **  PHYSICAL PARAMETERS  **


   RADIUS      n(Htot)     TEMP        A_UV EFF    RAD. EFF    C K(PH)     C K(IP)     C K(AP)     CO K(PH)    CO K(IP)    CO K(AP)    DELTA_AUV   
   1.549E+016  2.088E+005  2.437E+002  8.042E+000  4.685E-005  5.045E-015  0.000E+000  0.000E+000  1.083E-017  0.000E+000  0.000E+000  3.106E+003
   1.660E+016  1.819E+005  2.378E+002  7.505E+000  8.473E-005  9.585E-015  0.000E+000  0.000E+000  1.980E-017  0.000E+000  0.000E+000  3.106E+003
   1.778E+016  1.584E+005  2.322E+002  7.004E+000  1.477E-004  1.764E-014  0.000E+000  0.000E+000  3.536E-017  0.000E+000  0.000E+000  3.107E+003
   1.905E+016  1.380E+005  2.266E+002  6.537E+000  2.490E-004  3.140E-014  0.000E+000  0.000E+000  6.159E-017  0.000E+000  0.000E+000  3.107E+003
   2.042E+016  1.202E+005  2.212E+002  6.101E+000  4.064E-004  5.299E-014  0.000E+000  0.000E+000  1.025E-016  0.000E+000  0.000E+000  3.108E+003
   2.188E+016  1.047E+005  2.159E+002  5.693E+000  6.436E-004  8.976E-014  0.000E+000  0.000E+000  1.722E-016  0.000E+000  0.000E+000  3.108E+003
   2.344E+016  9.115E+004  2.108E+002  5.313E+000  9.910E-004  1.499E-013  0.000E+000  0.000E+000  2.872E-016  0.000E+000  0.000E+000  3.109E+003
   2.512E+016  7.939E+004  2.057E+002  4.959E+000  1.486E-003  2.371E-013  0.000E+000  0.000E+000  4.565E-016  0.000E+000  0.000E+000  3.109E+003
   2.692E+016  6.915E+004  2.008E+002  4.628E+000  2.174E-003  3.701E-013  0.000E+000  0.000E+000  7.204E-016  0.000E+000  0.000E+000  3.109E+003
   2.884E+016  6.022E+004  1.960E+002  4.319E+000  3.108E-003  5.579E-013  0.000E+000  0.000E+000  1.103E-015  0.000E+000  0.000E+000  3.110E+003
   3.090E+016  5.245E+004  1.913E+002  4.031E+000  4.348E-003  8.083E-013  0.000E+000  0.000E+000  1.631E-015  0.000E+000  0.000E+000  3.110E+003
   3.311E+016  4.568E+004  1.868E+002  3.762E+000  5.961E-003  1.141E-012  0.000E+000  0.000E+000  2.355E-015  0.000E+000  0.000E+000  3.110E+003
